Treatment_Number,Animal_ID,Condition_Type,Treatment_Date,Treatment_Time,Treatment_By,Treatment_Type,Treatment_Subtype,Number_of_Days,Weight,Temperature,Visit_Number,Visit_Type,Visit_Reason,Month,Year
T19-951111,A1062342,,03/28/2019,14:13:23.710000,,,,3,,,T19-951106,,,MAR.2019,FY2019
T19-956751,A1062999,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/03/2019,18:36:00,SR,,,,39,,T19-956751,INTAKE EXAM,,APR.2019,FY2019
T19-933852,A1060618,,03/10/2019,14:08:45.530000,,,,1,,,T19-933851,,,MAR.2019,FY2019
T19-956756,A1062999,,04/03/2019,18:37:57.260000,,,,1,,,T19-956751,,,APR.2019,FY2019
T19-951073,A1062437,,03/28/2019,13:45:42.353000,,,,1,,,T19-951068,,,MAR.2019,FY2019
T19-933854,A1060618,,03/10/2019,14:08:54.947000,,,,1,,,T19-933851,,,MAR.2019,FY2019
T19-951070,A1062437,,03/28/2019,13:45:29.503000,,HEARTWORM TEST,NEGATIVE,,,,T19-951068,,,MAR.2019,FY2019
T19-944508,A1061678,,03/21/2019,19:19:01.137000,,,,1,,,T19-944504,,,MAR.2019,FY2019
T19-951068,A1062437,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/28/2019,13:44:00,NG,,,,13.4,,T19-951068,EXAM - ADOPTION,,MAR.2019,FY2019
T19-956726,A1063010,,04/03/2019,18:30:58.990000,,,,1,,,T19-956722,,,APR.2019,FY2019
T19-951071,A1062437,,03/28/2019,13:45:33.620000,,,,1,,,T19-951068,,,MAR.2019,FY2019
T19-933869,A1060619,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/10/2019,14:05:00,OB,,,,7,,T19-933869,INTAKE EXAM,BEHAVIORAL,MAR.2019,FY2019
T19-951045,A1062434,,03/28/2019,13:40:21.720000,,HEARTWORM TEST,NEGATIVE,,,,T19-951044,,,MAR.2019,FY2019
T19-922162,A1059391,,02/25/2019,12:48:45.553000,,,,1,,,T19-922151,,,FEB.2019,FY2019
T19-951069,A1062437,,03/28/2019,13:45:18.673000,,MICROCHIP (24HR PET WATCH),,,,,T19-951068,,,MAR.2019,FY2019
T19-956779,A1063033,,04/03/2019,18:52:02.363000,,,,1,,,T19-956776,,,APR.2019,FY2019
T19-956749,A1062943,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/03/2019,11:00:00,LV,,,,8.6,,T19-956749,MEDICAL REVIEW,,APR.2019,FY2019
T19-933865,A1060616,,03/10/2019,14:10:24.723000,,,,1,,,T19-933863,,,MAR.2019,FY2019
T19-956778,A1063033,,04/03/2019,18:51:59.353000,,,,1,,,T19-956776,,,APR.2019,FY2019
T19-944443,A1060617,UNKNOWN,03/21/2019,18:31:00,AG,,,,,,T19-944443,VET CHECK,,MAR.2019,FY2019
T19-956752,A1062999,,04/03/2019,18:37:24.650000,,,,1,,,T19-956751,,,APR.2019,FY2019
T19-944510,A1061678,,03/21/2019,19:19:07.450000,,,,1,,,T19-944504,,,MAR.2019,FY2019
T19-956768,A1063027,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/03/2019,18:46:00,SR,,,,17,,T19-956768,INTAKE EXAM,,APR.2019,FY2019
T19-944509,A1061678,,03/21/2019,19:19:03.780000,,,,1,,,T19-944504,,,MAR.2019,FY2019
T19-956777,A1063033,,04/03/2019,18:51:55.410000,,,,1,,,T19-956776,,,APR.2019,FY2019
T19-927955,A1059937,,03/03/2019,17:29:27.933000,,,,1,,,T19-927953,,,MAR.2019,FY2019
T19-922160,A1059391,,02/25/2019,12:48:39.100000,,,,1,,,T19-922151,,,FEB.2019,FY2019
T19-956758,A1062999,,04/03/2019,18:38:22.437000,,,,1,,,T19-956751,,,APR.2019,FY2019
T19-944504,A1061678,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/21/2019,19:18:00,NG,,,,53.2,,T19-944504,INTAKE EXAM,,MAR.2019,FY2019
T19-927954,A1059937,,03/03/2019,17:29:21.070000,,,,1,,,T19-927953,,,MAR.2019,FY2019
T19-956791,A1063044,,04/03/2019,18:56:24.493000,,,,1,,,T19-956790,,,APR.2019,FY2019
T19-956729,A1063010,,04/03/2019,18:31:22.147000,,,,1,,,T19-956722,,,APR.2019,FY2019
T19-913436,A1058343,,02/15/2019,09:28:37.240000,,,,1,,,T19-913433,,,FEB.2019,FY2019
T19-956755,A1062999,,04/03/2019,18:37:45.497000,,,,1,,,T19-956751,,,APR.2019,FY2019
T19-922233,A1056173,TREATABLE REHABILITABLE NON-CONTAGIOUS,02/25/2019,13:45:00,AG,,,,,,T19-922233,EXAM-VISUAL,,FEB.2019,FY2019
T19-956796,A1063044,,04/03/2019,18:56:52.703000,,,,1,,,T19-956790,,,APR.2019,FY2019
T19-956734,A1062943,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/03/2019,11:00:00,LV,,,,8.6,,T19-956734,EXAM-VET,,APR.2019,FY2019
T19-895077,A1056173,,01/25/2019,13:28:29.133000,,,,1,,,T19-895073,,,JAN.2019,FY2019
T19-893615,A1056173,,01/23/2019,18:08:52.833000,,,,1,,,T19-893607,,,JAN.2019,FY2019
T19-933875,A1060619,,03/10/2019,14:11:27.673000,,,,1,,,T19-933869,,,MAR.2019,FY2019
T19-933864,A1060616,,03/10/2019,14:10:19.150000,,,,1,,,T19-933863,,,MAR.2019,FY2019
T19-895073,A1056173,TREATABLE REHABILITABLE NON-CONTAGIOUS,01/25/2019,13:27:00,PA,,,,66,,T19-895073,SURGERY-,,JAN.2019,FY2019
T19-895078,A1056173,,01/25/2019,13:28:35.640000,,,,3,,,T19-895073,,,JAN.2019,FY2019
T19-927956,A1059937,,03/03/2019,17:29:33.560000,,,,1,,,T19-927953,,,MAR.2019,FY2019
T19-956776,A1063033,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/03/2019,18:50:00,SR,,,,45.2,,T19-956776,INTAKE EXAM,,APR.2019,FY2019
T19-956739,A1062943,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/03/2019,11:00:00,LV,,,,8.6,,T19-956739,MEDICAL REVIEW,,APR.2019,FY2019
T19-933846,A1060617,TREATABLE REHABILITABLE CONTAGIOUS,03/10/2019,14:05:00,AG,,,,8.4,,T19-933846,INTAKE EXAM,,MAR.2019,FY2019
T19-956748,A1062943,,04/03/2019,18:35:55.353000,,,,10,,,T19-956734,,,APR.2019,FY2019
T19-944505,A1061678,,03/21/2019,19:18:49.907000,,MICROCHIP (24HR PET WATCH),,,,,T19-944504,,,MAR.2019,FY2019
T19-956741,A1062992,,04/03/2019,18:34:11.217000,,,,1,,,T19-956738,,,APR.2019,FY2019
T19-951141,A1062020,,03/28/2019,14:37:17.437000,,,,3,,,T19-951133,,,MAR.2019,FY2019
T19-893609,A1056173,,01/23/2019,18:08:31.273000,,HEARTWORM TEST,NEGATIVE,,,,T19-893607,,,JAN.2019,FY2019
T19-913434,A1058343,,02/15/2019,09:28:31.267000,,,,1,,,T19-913433,,,FEB.2019,FY2019
T19-956769,A1063027,,04/03/2019,18:48:08.067000,,,,1,,,T19-956768,,,APR.2019,FY2019
T19-933867,A1060616,,03/10/2019,14:10:32.947000,,,,1,,,T19-933863,,,MAR.2019,FY2019
T19-956746,A1062992,,04/03/2019,18:34:38.890000,,MICROCHIP (24HR PET WATCH),,,,,T19-956738,,,APR.2019,FY2019
T19-956770,A1063027,,04/03/2019,18:48:13.387000,,,,1,,,T19-956768,,,APR.2019,FY2019
T19-927958,A1059937,,03/03/2019,17:29:56.623000,,,,1,,,T19-927953,,,MAR.2019,FY2019
T19-956727,A1063010,,04/03/2019,18:31:04.467000,,,,1,,,T19-956722,,,APR.2019,FY2019
T19-913439,A1058343,,02/15/2019,09:28:51.250000,,MICROCHIP (24HR PET WATCH),,,,,T19-913433,,,FEB.2019,FY2019
T19-956780,A1063033,,04/03/2019,18:52:10.947000,,,,1,,,T19-956776,,,APR.2019,FY2019
T19-905500,A1056173,,02/06/2019,09:36:24.100000,,,,1,,,T19-905499,,,FEB.2019,FY2019
T19-933871,A1060619,,03/10/2019,14:11:10.190000,,,,1,,,T19-933869,,,MAR.2019,FY2019
T19-956793,A1063044,,04/03/2019,18:56:32.280000,,,,1,,,T19-956790,,,APR.2019,FY2019
T19-956738,A1062992,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/03/2019,18:33:00,SR,,,,59.6,,T19-956738,INTAKE EXAM,,APR.2019,FY2019
T19-893613,A1056173,,01/23/2019,18:08:44.920000,,,,1,,,T19-893607,,,JAN.2019,FY2019
T19-933874,A1060619,,03/10/2019,14:11:18.807000,,,,1,,,T19-933869,,,MAR.2019,FY2019
T19-893608,A1056173,,01/23/2019,18:08:28.297000,,MICROCHIP (24HR PET WATCH),,,,,T19-893607,,,JAN.2019,FY2019
T19-922234,A1056173,,02/25/2019,13:47:21.223000,,,,1,,,T19-922233,,,FEB.2019,FY2019
T19-893610,A1056173,,01/23/2019,18:08:33.817000,,,,1,,,T19-893607,,,JAN.2019,FY2019
T19-956759,A1062957,UNKNOWN,04/03/2019,16:04:00,NG,,,,8.2,,T19-956759,MEDICAL REVIEW,,APR.2019,FY2019
T19-905499,A1056173,TREATABLE REHABILITABLE NON-CONTAGIOUS,02/06/2019,09:33:00,SR/NG,,,,,,T19-905499,EXAM,,FEB.2019,FY2019
T19-917756,A1056173,TREATABLE REHABILITABLE NON-CONTAGIOUS,02/20/2019,09:03:00,OB,,,,,,T19-917756,EXAM-VISUAL,,FEB.2019,FY2019
T19-956722,A1063010,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/03/2019,18:30:00,SR,,,,11.6,,T19-956722,INTAKE EXAM,,APR.2019,FY2019
T19-956795,A1063044,,04/03/2019,18:56:48.093000,,,,1,,,T19-956790,,,APR.2019,FY2019
T19-956724,A1063010,,04/03/2019,18:30:53.727000,,,,1,,,T19-956722,,,APR.2019,FY2019
T19-933866,A1060616,,03/10/2019,14:10:28.030000,,,,1,,,T19-933863,,,MAR.2019,FY2019
T19-895074,A1056173,,01/25/2019,13:28:10.697000,,,,1,,,T19-895073,,,JAN.2019,FY2019
T19-933851,A1060618,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/10/2019,14:05:00,OB,,,,6.4,,T19-933851,INTAKE EXAM,BEHAVIORAL,MAR.2019,FY2019
T19-944666,A1060442,,03/22/2019,10:32:27.247000,,,,1,,,T19-944665,,,MAR.2019,FY2019
T19-944591,A1061679,,03/22/2019,01:01:46.260000,,,,1,,,T19-944590,,,MAR.2019,FY2019
T19-895075,A1056173,,01/25/2019,13:28:15.367000,,,,1,,,T19-895073,,,JAN.2019,FY2019
T19-913440,A1058343,,02/15/2019,09:28:57.087000,,HEARTWORM TEST,NEGATIVE,,,,T19-913433,,,FEB.2019,FY2019
T19-944592,A1061679,,03/22/2019,01:01:54.737000,,,,1,,,T19-944590,,,MAR.2019,FY2019
T19-933876,A1060619,,03/10/2019,14:11:33.510000,,,,1,,,T19-933869,,,MAR.2019,FY2019
T19-944590,A1061679,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/22/2019,01:01:00,LHAYES,,,,,,T19-944590,INTAKE EXAM,,MAR.2019,FY2019
T19-944593,A1061679,,03/22/2019,01:02:24.063000,,,,1,,,T19-944590,,,MAR.2019,FY2019
T19-933855,A1060618,,03/10/2019,14:08:59.603000,,,,1,,,T19-933851,,,MAR.2019,FY2019
T19-893611,A1056173,,01/23/2019,18:08:39.630000,,,,1,,,T19-893607,,,JAN.2019,FY2019
T19-917757,A1056173,,02/20/2019,09:04:45.280000,,,,1,,,T19-917756,,,FEB.2019,FY2019
T19-933873,A1060619,,03/10/2019,14:11:14.733000,,,,1,,,T19-933869,,,MAR.2019,FY2019
T19-893612,A1056173,,01/23/2019,18:08:42.067000,,,,1,,,T19-893607,,,JAN.2019,FY2019
T19-933868,A1060616,,03/10/2019,14:10:39.500000,,,,1,,,T19-933863,,,MAR.2019,FY2019
T19-933853,A1060618,,03/10/2019,14:08:50.030000,,,,1,,,T19-933851,,,MAR.2019,FY2019
T19-893607,A1056173,TREATABLE REHABILITABLE NON-CONTAGIOUS,01/23/2019,18:07:00,ER,,,,55,,T19-893607,INTAKE EXAM,,JAN.2019,FY2019
T19-933856,A1060618,,03/10/2019,14:09:06.240000,,,,1,,,T19-933851,,,MAR.2019,FY2019
T19-933863,A1060616,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/10/2019,14:05:00,OB,,,,8.8,,T19-933863,INTAKE EXAM,BEHAVIORAL,MAR.2019,FY2019
T19-944631,A1061499,,03/22/2019,10:16:59.103000,,,,1,,,T19-944630,,,MAR.2019,FY2019
T19-956747,A1062992,,04/03/2019,18:34:47.733000,,HEARTWORM TEST,NEGATIVE,,,,T19-956738,,,APR.2019,FY2019
T19-944632,A1061499,,03/22/2019,10:17:03.283000,,,,1,,,T19-944630,,,MAR.2019,FY2019
T19-944652,A1059194,TREATABLE REHABILITABLE CONTAGIOUS,03/22/2019,10:26:00,NG,,,,,,T19-944652,EXAM-VISUAL,,MAR.2019,FY2019
T19-956740,A1062992,,04/03/2019,18:34:06.373000,,,,1,,,T19-956738,,,APR.2019,FY2019
T19-956772,A1063027,,04/03/2019,18:48:23.340000,,,,1,,,T19-956768,,,APR.2019,FY2019
T19-956732,A1063010,,04/03/2019,18:31:34.447000,,HEARTWORM TEST,HIGH POSITIVE,,,,T19-956722,,,APR.2019,FY2019
T19-956774,A1063027,,04/03/2019,18:48:34.940000,,,,1,,,T19-956768,,,APR.2019,FY2019
T19-956753,A1062999,,04/03/2019,18:37:29.443000,,,,1,,,T19-956751,,,APR.2019,FY2019
T19-956783,A1063033,,04/03/2019,18:52:26.543000,,MICROCHIP (24HR PET WATCH),,,,,T19-956776,,,APR.2019,FY2019
T19-922237,A1056173,TREATABLE REHABILITABLE NON-CONTAGIOUS,02/25/2019,13:51:00,ER,,,,66,,T19-922237,EXAM,,FEB.2019,FY2019
T19-956743,A1062992,,04/03/2019,18:34:23.517000,,,,1,,,T19-956738,,,APR.2019,FY2019
T19-956736,A1062943,,04/03/2019,18:32:45.880000,,,,10,,,T19-956734,,,APR.2019,FY2019
T19-951134,A1062020,,03/28/2019,14:36:12.180000,,POSTPARTUM,,,,,T19-951133,,,MAR.2019,FY2019
T19-956781,A1063033,,04/03/2019,18:52:16.580000,,,,1,,,T19-956776,,,APR.2019,FY2019
T19-956757,A1062999,,04/03/2019,18:38:05.400000,,MICROCHIP (24HR PET WATCH),,,,,T19-956751,,,APR.2019,FY2019
T19-956773,A1063027,,04/03/2019,18:48:30.277000,,,,1,,,T19-956768,,,APR.2019,FY2019
T19-895076,A1056173,,01/25/2019,13:28:21.970000,,,,1,,,T19-895073,,,JAN.2019,FY2019
T19-913435,A1058343,,02/15/2019,09:28:34.610000,,,,1,,,T19-913433,,,FEB.2019,FY2019
T19-893614,A1056173,,01/23/2019,18:08:48.300000,,,,1,,,T19-893607,,,JAN.2019,FY2019
T19-944634,A1061499,,03/22/2019,10:17:24.083000,,,,1,,,T19-944630,,,MAR.2019,FY2019
T19-922238,A1056173,,02/25/2019,13:52:08.073000,,,,1,,,T19-922237,,,FEB.2019,FY2019
T19-944648,A1060398,TREATABLE REHABILITABLE CONTAGIOUS,03/22/2019,10:26:00,NG,,,,,,T19-944648,EXAM-VISUAL,,MAR.2019,FY2019
T19-956834,A1063065,,04/03/2019,23:28:01.120000,,,,1,,,T19-956832,,,APR.2019,FY2019
T19-944653,A1059194,,03/22/2019,10:28:54.940000,,,,1,,,T19-944652,,,MAR.2019,FY2019
T19-956831,A1063063,,04/03/2019,23:11:53.010000,,,,1,,,T19-956828,,,APR.2019,FY2019
T19-913437,A1058343,,02/15/2019,09:28:42.073000,,,,1,,,T19-913433,,,FEB.2019,FY2019
T19-956828,A1063063,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/03/2019,23:11:00,,,,,,,T19-956828,INTAKE EXAM,,APR.2019,FY2019
T19-951138,A1062020,,03/28/2019,14:37:00.560000,,,,1,,,T19-951133,,,MAR.2019,FY2019
T19-944654,A1059194,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/22/2019,10:26:00,NG,,,,,,T19-944654,EXAM-VISUAL,,MAR.2019,FY2019
T19-944633,A1061499,,03/22/2019,10:17:18.180000,,,,1,,,T19-944630,,,MAR.2019,FY2019
T19-956825,A1063062,,04/03/2019,22:59:35.093000,,,,1,,,T19-956824,,,APR.2019,FY2019
T19-944630,A1061499,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/22/2019,10:16:00,LR/PA,,,,63,,T19-944630,SURGERY-,,MAR.2019,FY2019
T19-944635,A1061499,,03/22/2019,10:17:28.870000,,,,3,,,T19-944630,,,MAR.2019,FY2019
T19-956816,A1063061,,04/03/2019,22:53:03.370000,,,,1,,,T19-956812,,,APR.2019,FY2019
T19-944649,A1060398,,03/22/2019,10:27:40.013000,,,,1,,,T19-944648,,,MAR.2019,FY2019
T19-956830,A1063063,,04/03/2019,23:11:42.430000,,,,1,,,T19-956828,,,APR.2019,FY2019
T19-956827,A1063062,,04/03/2019,23:00:53.070000,,,,1,,,T19-956824,,,APR.2019,FY2019
T19-956812,A1063061,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/03/2019,22:51:00,,,,,,,T19-956812,INTAKE EXAM,,APR.2019,FY2019
T19-951136,A1062020,,03/28/2019,14:36:49.147000,,,,1,,,T19-951133,,,MAR.2019,FY2019
T19-927960,A1059937,,03/03/2019,17:30:15.253000,,MICROCHIP (24HR PET WATCH),,,,,T19-927953,,,MAR.2019,FY2019
T19-956824,A1063062,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/03/2019,22:59:00,,,,,,,T19-956824,INTAKE EXAM,,APR.2019,FY2019
T19-933908,A1060617,,03/10/2019,14:50:38.983000,,,,1,,,T19-933846,,,MAR.2019,FY2019
T19-944610,A1061658,,03/21/2019,09:55:28.147000,,,,1,,,T19-944279,,,MAR.2019,FY2019
T19-944655,A1059194,,03/22/2019,10:29:07.580000,,,,1,,,T19-944654,,,MAR.2019,FY2019
T19-927959,A1059937,,03/03/2019,17:30:08.213000,,HEARTWORM TEST,NEGATIVE,,,,T19-927953,,,MAR.2019,FY2019
T19-956835,A1063065,,04/03/2019,23:28:17.253000,,,,1,,,T19-956832,,,APR.2019,FY2019
T19-951707,A1062583,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/29/2019,12:44:00,VL,,,,72.6,,T19-951707,EXAM - ADOPTION,,MAR.2019,FY2019
T19-951721,A1062437,,03/29/2019,12:46:39.590000,,,,1,,,T19-951714,,,MAR.2019,FY2019
T19-951722,A1062437,,03/29/2019,12:46:45.350000,,,,1,,,T19-951714,,,MAR.2019,FY2019
T19-928018,A1059940,,03/03/2019,18:41:45.250000,,,,1,,,T19-928012,,,MAR.2019,FY2019
T19-928019,A1059940,,03/03/2019,18:42:15.660000,,HEARTWORM TEST,HIGH POSITIVE,,,,T19-928012,,,MAR.2019,FY2019
T19-928017,A1059940,,03/03/2019,18:41:27.267000,,,,1,,,T19-928012,,,MAR.2019,FY2019
T19-943356,A1061550,,03/20/2019,13:30:53.627000,,FELV SNAP TEST,NEGATIVE,,,,T19-943354,,,MAR.2019,FY2019
T19-956690,A1063001,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,04/03/2019,18:17:00,SR,,,,10.7,,T19-956690,INTAKE EXAM,,APR.2019,FY2019
T19-933910,A1060617,,03/10/2019,14:51:24.387000,,,,1,,,T19-933846,,,MAR.2019,FY2019
T19-943936,A1061550,,03/21/2019,11:07:56.403000,,,,1,,,T19-943935,,,MAR.2019,FY2019
T19-956848,A1062999,,04/03/2019,08:25:25.243000,,HEARTWORM TEST,NEGATIVE,,,,T19-956751,,,APR.2019,FY2019
T19-928012,A1059940,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/03/2019,18:38:00,AG,,,,63,,T19-928012,INTAKE EXAM,,MAR.2019,FY2019
T19-928013,A1059940,,03/03/2019,18:40:54.777000,,,,1,,,T19-928012,,,MAR.2019,FY2019
T19-943357,A1061550,,03/20/2019,13:30:56.303000,,,,1,,,T19-943354,,,MAR.2019,FY2019
T19-956847,A1062895,UNKNOWN,04/04/2019,07:44:00,,,,,,,T19-956847,VET CHECK,,APR.2019,FY2019
T19-928016,A1059940,,03/03/2019,18:41:10.473000,,,,1,,,T19-928012,,,MAR.2019,FY2019
T19-928015,A1059940,,03/03/2019,18:41:01.973000,,,,1,,,T19-928012,,,MAR.2019,FY2019
T19-943937,A1061550,,03/21/2019,11:08:03.287000,,,,1,,,T19-943935,,,MAR.2019,FY2019
T19-933909,A1060617,,03/10/2019,14:50:46.810000,,,,1,,,T19-933846,,,MAR.2019,FY2019
T19-943935,A1061550,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/21/2019,11:07:00,VL,,,,11.6,,T19-943935,SURGERY-,,MAR.2019,FY2019
T19-943938,A1061550,,03/21/2019,11:08:12.360000,,,,1,,,T19-943935,,,MAR.2019,FY2019
T19-943358,A1061550,,03/20/2019,13:30:59.030000,,,,1,,,T19-943354,,,MAR.2019,FY2019
T19-944665,A1060442,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/22/2019,10:32:00,NG,,,,,,T19-944665,EXAM-VISUAL,,MAR.2019,FY2019
T19-933907,A1060617,,03/10/2019,14:50:31.307000,,,,1,,,T19-933846,,,MAR.2019,FY2019
T19-943939,A1061550,,03/21/2019,11:08:20.550000,,,,1,,,T19-943935,,,MAR.2019,FY2019
T19-943354,A1061550,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/20/2019,13:30:00,ER.NG,,,,9.8,,T19-943354,INTAKE EXAM,,MAR.2019,FY2019
T19-943360,A1061550,,03/20/2019,13:31:11.103000,,,,1,,,T19-943354,,,MAR.2019,FY2019
T19-943355,A1061550,,03/20/2019,13:30:47.050000,,MICROCHIP (24HR PET WATCH),,,,,T19-943354,,,MAR.2019,FY2019
T19-943359,A1061550,,03/20/2019,13:31:06.153000,,,,1,,,T19-943354,,,MAR.2019,FY2019
T19-928045,A1059963,,03/03/2019,22:55:26.583000,,,,1,,,T19-928043,,,MAR.2019,FY2019
T19-956864,A1062588,,04/04/2019,09:24:45.503000,,,,1,,,T19-956861,,,APR.2019,FY2019
T19-956861,A1062588,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/04/2019,09:23:00,VL/PA,,,,52,,T19-956861,SURGERY-,,APR.2019,FY2019
T19-928044,A1059963,,03/03/2019,22:55:14.390000,,,,1,,,T19-928043,,,MAR.2019,FY2019
T19-956857,A1034994,,04/04/2019,09:05:08.307000,,,,1,,,T19-956852,,,APR.2019,FY2019
T19-956863,A1062588,,04/04/2019,09:24:34.367000,,,,1,,,T19-956861,,,APR.2019,FY2019
T19-956856,A1034994,,04/04/2019,09:04:58.820000,,,,1,,,T19-956852,,,APR.2019,FY2019
T19-956852,A1034994,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/04/2019,09:02:00,PA,,,,43,,T19-956852,SURGERY-,,APR.2019,FY2019
T19-956858,A1034994,,04/04/2019,09:05:35.180000,,,,1,,,T19-956852,,,APR.2019,FY2019
T19-956855,A1034994,,04/04/2019,09:04:51.443000,,,,1,,,T19-956852,,,APR.2019,FY2019
T19-956866,A1062588,,04/04/2019,09:25:05.833000,,,,3,,,T19-956861,,,APR.2019,FY2019
T19-956862,A1062588,,04/04/2019,09:24:21.360000,,,,1,,,T19-956861,,,APR.2019,FY2019
T19-928046,A1059963,,03/03/2019,22:55:32.307000,,,,1,,,T19-928043,,,MAR.2019,FY2019
T19-956865,A1062588,,04/04/2019,09:24:58.677000,,,,1,,,T19-956861,,,APR.2019,FY2019
T19-956853,A1034994,,04/04/2019,09:04:27.257000,,,,7,,,T19-956852,,,APR.2019,FY2019
T19-956854,A1034994,,04/04/2019,09:04:39.537000,,,,10,,,T19-956852,,,APR.2019,FY2019
T19-956844,A1063001,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,04/04/2019,07:38:00,,,,,,,T19-956844,MEDICAL REVIEW,,APR.2019,FY2019
T19-956859,A1034994,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/04/2019,09:02:00,,,,,,,T19-956859,VET CHECK,,APR.2019,FY2019
T19-928043,A1059963,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/03/2019,22:54:00,RK1765,,,,69.4,,T19-928043,INTAKE EXAM,,MAR.2019,FY2019
T19-929739,A1017225,,03/05/2019,13:30:09.100000,,,,1,,,T19-929737,,,MAR.2019,FY2019
T19-928047,A1059963,,03/03/2019,22:55:39.620000,,,,1,,,T19-928043,,,MAR.2019,FY2019
T18-835155,A1017225,,11/22/2018,17:46:55.780000,,,,1,,,T18-835149,,,NOV.2018,FY2019
T19-956904,A1062746,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/04/2019,10:13:00,CP/PA,,,,72,,T19-956904,SURGERY-,,APR.2019,FY2019
T18-835154,A1017225,,11/22/2018,17:46:46.730000,,,,1,,,T18-835149,,,NOV.2018,FY2019
T19-929741,A1017225,,03/05/2019,13:30:17.990000,,HEARTWORM TEST,HIGH POSITIVE,,,,T19-929737,,,MAR.2019,FY2019
T19-956899,A1062564,,04/04/2019,10:05:31.593000,,,,1,,,T19-956898,,,APR.2019,FY2019
T19-929740,A1017225,,03/05/2019,13:30:13.530000,,,,1,,,T19-929737,,,MAR.2019,FY2019
T19-912477,A1017225,TREATABLE REHABILITABLE NON-CONTAGIOUS,02/13/2019,22:53:00,RK1765,,,,60.4,,T19-912477,INTAKE EXAM,,FEB.2019,FY2019
T19-956873,A1062660,,04/04/2019,09:32:44.740000,,,,3,,,T19-956868,,,APR.2019,FY2019
T19-956889,A1062778,,04/04/2019,09:56:17.940000,,,,3,,,T19-956884,,,APR.2019,FY2019
T19-930998,A1017225,,03/06/2019,17:23:28.370000,,,,5,,,T19-930696,,,MAR.2019,FY2019
T19-956916,A1062962,,04/04/2019,10:25:45.827000,,,,3,,,T19-956911,,,APR.2019,FY2019
T19-912480,A1017225,,02/13/2019,22:54:00.173000,,,,1,,,T19-912477,,,FEB.2019,FY2019
T19-912481,A1017225,,02/13/2019,22:54:07.803000,,,,1,,,T19-912477,,,FEB.2019,FY2019
T19-956898,A1062564,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/04/2019,10:00:00,VL/PA,,,,47,,T19-956898,SURGERY-,,APR.2019,FY2019
T19-930696,A1017225,UNKNOWN,03/06/2019,14:06:00,,,,,,,T19-930696,VET CHECK,,MAR.2019,FY2019
T19-956883,A1062660,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/04/2019,09:31:00,,,,,,,T19-956883,VET CHECK,,APR.2019,FY2019
T19-956871,A1062660,,04/04/2019,09:32:31.080000,,,,1,,,T19-956868,,,APR.2019,FY2019
T19-956893,A1062758,,04/04/2019,09:58:57.337000,,,,1,,,T19-956890,,,APR.2019,FY2019
T19-956874,A1062660,,04/04/2019,09:32:56,,,,1,,,T19-956868,,,APR.2019,FY2019
T19-956884,A1062778,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/04/2019,09:53:00,CP/PA,,,,44,,T19-956884,SURGERY-,,APR.2019,FY2019
T19-956894,A1062758,,04/04/2019,09:59:03.210000,,,,1,,,T19-956890,,,APR.2019,FY2019
T19-956869,A1062660,,04/04/2019,09:32:20.180000,,,,1,,,T19-956868,,,APR.2019,FY2019
T19-956868,A1062660,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/04/2019,09:31:00,VL/PA,,,,39,,T19-956868,SURGERY-,,APR.2019,FY2019
T18-835151,A1017225,,11/22/2018,17:45:53.197000,,,,1,,,T18-835149,,,NOV.2018,FY2019
