Treatment Number,Animal ID,Condition Type,Treatment Date,Treatment Time,Treatment By,Treatment Type,Treatment Subtype,Number of Days,Weight,Temperature,Visit Number,Visit Type,Visit Reason,Month,Year
T18-777104,A1042474,,9/27/2018,31:01.3,,,,1,,,T18-777100,,,SEP.2018,FY2018
T18-764390,A1043558,,9/16/2018,55:52.7,,HEARTWORM TEST,NEGATIVE,,,,T18-764388,,,SEP.2018,FY2018
T18-776771,A1044173,,9/27/2018,56:34.6,,,,1,,,T18-776768,,,SEP.2018,FY2018
T18-771394,A1044265,,9/22/2018,13:07.3,,,,1,,,T18-771388,,,SEP.2018,FY2018
T18-769270,A1043894,,9/20/2018,01:15.6,,,,3,,,T18-769262,,,SEP.2018,FY2018
T18-777451,A1044784,,9/27/2018,31:59.4,,,,1,,,T18-777448,,,SEP.2018,FY2018
T18-742641,A1041593,,8/26/2018,22:52.1,,,,1,,,T18-742549,,,AUG.2018,FY2018
T18-776091,A1044701,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/26/2018,14:20:00,,,,,,,T18-776091,INTAKE EXAM,,SEP.2018,FY2018
T18-763164,A1036772,,9/15/2018,20:48.0,,,,1,,,T18-763162,,,SEP.2018,FY2018
T18-778657,A1044921,,9/28/2018,36:48.8,,,,1,,,T18-778652,,,SEP.2018,FY2018
T18-765212,A1042899,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/17/2018,13:06:00,AG,,,,,,T18-765212,EXAM-VET,,SEP.2018,FY2018
T18-762277,A1043325,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/14/2018,11:11:00,NG,,,,50.4,,T18-762277,EXAM - ADOPTION,,SEP.2018,FY2018
T18-733538,A1040389,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/18/2018,13:33:00,PA,,,,47.2,,T18-733538,SURGERY-,,AUG.2018,FY2018
T18-778966,A1044956,,9/29/2018,17:11.4,,,,1,,,T18-778965,,,SEP.2018,FY2018
T18-769988,A1044149,,9/20/2018,32:13.9,,,,1,,,T18-769985,,,SEP.2018,FY2018
T18-755953,A1039622,,9/8/2018,54:49.2,,,,1,,,T18-755951,,,SEP.2018,FY2018
T18-776120,A1044671,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/26/2018,15:00:00,AG2/ NG,,,,65,,T18-776120,EXAM - ADOPTION,,SEP.2018,FY2018
T18-655990,A1030811,TREATABLE REHABILITABLE NON-CONTAGIOUS,6/13/2018,10:37:00,PA,,,,5.8,,T18-655990,SURGERY-,,JUN.2018,FY2018
T18-765482,A1043729,,9/17/2018,56:39.4,,,,1,,,T18-765480,,,SEP.2018,FY2018
T18-776214,A1044723,,9/26/2018,58:18.9,,,,1,,,T18-776209,,,SEP.2018,FY2018
T18-770360,A1042686,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/21/2018,11:44:00,LS,,,,,,T18-770360,EXAM,,SEP.2018,FY2018
T18-763020,A1043474,,9/14/2018,33:46.3,,,,1,,,T18-763019,,,SEP.2018,FY2018
T18-780578,A1045106,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/30/2018,16:00:00,AG2,,,,3.2,,T18-780578,INTAKE EXAM,,SEP.2018,FY2018
T18-768366,A1043995,,9/19/2018,05:09.9,,,,1,,,T18-768037,,,SEP.2018,FY2018
T18-733190,A1040765,,8/18/2018,46:55.2,,,,1,,,T18-733177,,,AUG.2018,FY2018
T18-766070,A1042319,TREATABLE REHABILITABLE CONTAGIOUS,9/18/2018,11:45:00,AG,,,,,,T18-766070,VET CHECK,,SEP.2018,FY2018
T17-457785,A1012711,UNKNOWN,10/28/2017,11:23:00,ER,,,,,,T17-457785,HEALTH MAINTENANCE,,OCT.2017,FY2018
T18-778811,A1044549,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/28/2018,17:02:00,,,,,,,T18-778811,SURGERY EXM,,SEP.2018,FY2018
T18-755994,A1040041,,9/8/2018,29:42.7,,,,1,,,T18-755990,,,SEP.2018,FY2018
T18-764885,A1043667,,9/17/2018,35:56.3,,,,1,,,T18-764884,,,SEP.2018,FY2018
T18-776564,A1044726,,9/26/2018,47:56.3,,,,1,,,T18-776560,,,SEP.2018,FY2018
T17-439693,A1009144,,10/7/2017,39:45.1,,,,1,,,T17-439692,,,OCT.2017,FY2018
T18-742727,A1041593,,8/27/2018,33:04.2,,,,1,,,T18-742724,,,AUG.2018,FY2018
T18-771797,A1040045,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/22/2018,13:54:00,LV/DT,,,,1.9,,T18-771797,EXAM-VISUAL,,SEP.2018,FY2018
T18-771778,A1040041,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/22/2018,13:54:00,LV/DT,,,,1.9,,T18-771778,EXAM-VISUAL,,SEP.2018,FY2018
T18-744635,A1041742,,8/28/2018,56:47.0,,,,1,,,T18-744633,,,AUG.2018,FY2018
T18-768574,A1044041,,9/19/2018,11:37.8,,,,1,,,T18-768571,,,SEP.2018,FY2018
T18-780322,A1044921,TREATABLE MANAGEABLE NON-CONTAGIOUS,9/30/2018,13:55:00,,,,,43.2,,T18-780322,MEDICAL REVIEW,XRAY,SEP.2018,FY2018
T18-747031,A1038594,,8/30/2018,56:03.1,,,,1,,,T18-747023,,,AUG.2018,FY2018
T18-748984,A0894843,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/1/2018,17:06:00,NG,,,,63.2,,T18-748984,INTAKE EXAM,,SEP.2018,FY2018
T18-757462,A1042895,TREATABLE REHABILITABLE CONTAGIOUS,9/10/2018,12:49:00,SR,,,,,,T18-757462,INTAKE EXAM,,SEP.2018,FY2018
T18-725116,A1040042,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/12/2018,13:38:00,TH1725,,,,1,,T18-725116,INTAKE EXAM,,AUG.2018,FY2018
T18-777309,A1044809,,9/27/2018,24:22.1,,,,1,,,T18-777307,,,SEP.2018,FY2018
T18-656511,A1033099,TREATABLE REHABILITABLE NON-CONTAGIOUS,6/13/2018,13:35:00,ER,,,,2.6,,T18-656511,EXAM - ADOPTION,,JUN.2018,FY2018
T18-776735,A1044477,,9/27/2018,17:49.0,,,,1,,,T18-776734,,,SEP.2018,FY2018
T18-771519,A1044282,,9/22/2018,25:35.5,,,,1,,,T18-771517,,,SEP.2018,FY2018
T18-768545,A1044038,UNKNOWN,9/19/2018,23:05:00,,,,,,,T18-768545,HEALTH MAINTENANCE,,SEP.2018,FY2018
T18-778307,A1041740,,9/28/2018,59:38.7,,,,1,,,T18-778305,,,SEP.2018,FY2018
T18-748996,A0894843,UNKNOWN,9/1/2018,17:06:00,,,,,,,T18-748996,HEALTH MAINTENANCE,,SEP.2018,FY2018
T18-780287,A1045071,,9/30/2018,46:06.3,,MICROCHIP (24HR PET WATCH),,,,,T18-780286,,,SEP.2018,FY2018
T18-776848,A1044450,,9/27/2018,46:14.5,,,,1,,,T18-776838,,,SEP.2018,FY2018
T18-762542,A1043418,,9/14/2018,13:54.9,,,,1,,,T18-762537,,,SEP.2018,FY2018
T18-774230,A1044585,,9/25/2018,17:47.9,,,,1,,,T18-774221,,,SEP.2018,FY2018
T18-777586,A1044819,,9/27/2018,05:02.9,,,,1,,,T18-777582,,,SEP.2018,FY2018
T18-771975,A1044291,,9/22/2018,29:32.1,,,,1,,,T18-771962,,,SEP.2018,FY2018
T18-774192,A1044556,,9/25/2018,07:58.9,,,,1,,,T18-774191,,,SEP.2018,FY2018
T18-777131,A1041629,,9/27/2018,43:46.7,,,,1,,,T18-777121,,,SEP.2018,FY2018
T18-773349,A1044456,,9/24/2018,37:32.6,,MICROCHIP (24HR PET WATCH),,,,,T18-773348,,,SEP.2018,FY2018
T18-772576,A1044384,,9/23/2018,07:14.3,,,,1,,,T18-772574,,,SEP.2018,FY2018
T18-728341,A1040389,,8/14/2018,07:44.7,,,,1,,,T18-728338,,,AUG.2018,FY2018
T18-750563,A1042267,UNKNOWN,9/3/2018,13:47:00,OB,,,,46.8,,T18-750563,HEALTH MAINTENANCE,,SEP.2018,FY2018
T18-766803,A1023378,,9/18/2018,40:59.2,,,,1,,,T18-766793,,,SEP.2018,FY2018
T18-776320,A1044701,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/26/2018,18:15:00,AG2/NG,,,,63,,T18-776320,EXAM - ADOPTION,,SEP.2018,FY2018
T18-779489,A1044992,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/29/2018,13:47:00,AG2/ER,,,,5.4,,T18-779489,INTAKE EXAM,,SEP.2018,FY2018
T18-775881,A1044109,,9/26/2018,29:51.7,,,,3,,,T18-775875,,,SEP.2018,FY2018
T18-752670,A1014334,,9/5/2018,22:14.3,,,,1,,,T18-752668,,,SEP.2018,FY2018
T18-765864,A1023378,,9/18/2018,59:20.5,,,,1,,,T18-765862,,,SEP.2018,FY2018
T18-765759,A1043798,,9/17/2018,58:59.7,,,,1,,,T18-765755,,,SEP.2018,FY2018
T18-777809,A1044863,,9/28/2018,07:09.0,,,,1,,,T18-777808,,,SEP.2018,FY2018
T18-779755,A1044975,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/29/2018,16:25:00,LV,,,,23,,T18-779755,EXAM - ADOPTION,,SEP.2018,FY2018
T18-767375,A1042891,,9/19/2018,24:40.3,,,,14,,,T18-767374,,,SEP.2018,FY2018
T18-771548,A1043197,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/22/2018,12:35:00,,,,,,,T18-771548,EXAM-VET,OTHER,SEP.2018,FY2018
T18-528414,A1020026,,1/25/2018,07:50.5,,HEARTWORM TEST,IDEXX - NEG,,,,T18-528413,,,JAN.2018,FY2018
T18-778322,A0925102,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/28/2018,13:02:00,SR,,,,16,,T18-778322,EXAM - ADOPTION,,SEP.2018,FY2018
T18-717106,A1038594,,8/5/2018,57:18.1,,,,1,,,T18-717105,,,AUG.2018,FY2018
T18-753724,A1042491,UNKNOWN,9/6/2018,12:42:00,,,,,,,T18-753724,HEALTH MAINTENANCE,,SEP.2018,FY2018
T18-776171,A1028950,,9/26/2018,36:52.9,,,,1,,,T18-776168,,,SEP.2018,FY2018
T18-739924,A1041321,,8/24/2018,24:02.4,,,,1,,,T18-739921,,,AUG.2018,FY2018
T18-778693,A1043188,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/28/2018,15:53:00,LV,,,,,,T18-778693,EXAM-VISUAL,,SEP.2018,FY2018
T18-777632,A1044477,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,17:18:00,,,,,,,T18-777632,HISTORY,,SEP.2018,FY2018
T18-780256,A0809384,,9/30/2018,35:47.2,,,,1,,,T18-780254,,,SEP.2018,FY2018
T18-748992,A0894843,,9/1/2018,08:12.6,,,,1,,,T18-748984,,,SEP.2018,FY2018
T18-770548,A1042492,,9/21/2018,09:46.3,,,,1,,,T18-770544,,,SEP.2018,FY2018
T18-614826,A1028950,,5/5/2018,29:06.0,,,,1,,,T18-614823,,,MAY.2018,FY2018
T18-769244,A1044093,,9/20/2018,53:14.1,,,,1,,,T18-769239,,,SEP.2018,FY2018
T18-766870,A1043881,,9/18/2018,13:37.1,,,,1,,,T18-766867,,,SEP.2018,FY2018
T18-778033,A1044853,,9/28/2018,12:06.8,,HEARTWORM TEST,NEGATIVE,,,,T18-778030,,,SEP.2018,FY2018
T18-780026,A1045061,,9/30/2018,54:35.0,,,,1,,,T18-780025,,,SEP.2018,FY2018
T18-773363,A1044464,,9/24/2018,49:02.0,,HEARTWORM TEST,NEGATIVE,,,,T18-773361,,,SEP.2018,FY2018
T18-773391,A1044407,,9/24/2018,05:12.2,,,,1,,,T18-773388,,,SEP.2018,FY2018
T18-751367,A1042121,UNKNOWN,9/4/2018,13:50:00,ER/LV/LS,,,,,,T18-751367,HEALTH MAINTENANCE,,SEP.2018,FY2018
T18-753745,A1042492,UNKNOWN,9/6/2018,12:58:00,,,,,,,T18-753745,MEDICAL REVIEW,,SEP.2018,FY2018
T18-777863,A1044866,,9/28/2018,10:57.4,,,,5,,,T18-777862,,,SEP.2018,FY2018
T18-777797,A1044866,,9/27/2018,47:07.3,,,,1,,,T18-777793,,,SEP.2018,FY2018
T18-778329,A0925102,,9/28/2018,03:36.0,,HEARTWORM TEST,NEGATIVE,,,,T18-778322,,,SEP.2018,FY2018
T18-779545,A1042211,,9/29/2018,33:31.3,,,,1,,,T18-779543,,,SEP.2018,FY2018
T18-776797,A1042973,UNKNOWN,9/27/2018,11:10:00,,,,,,,T18-776797,VET CHECK,,SEP.2018,FY2018
T18-777603,A1044816,,9/27/2018,07:43.0,,,,1,,,T18-777601,,,SEP.2018,FY2018
T18-773612,A1044513,,9/24/2018,21:05.2,,,,1,,,T18-773606,,,SEP.2018,FY2018
T18-753380,A1041560,,9/6/2018,38:49.6,,,,1,,,T18-753374,,,SEP.2018,FY2018
T18-778715,A1044928,,9/28/2018,33:15.1,,,,1,,,T18-778711,,,SEP.2018,FY2018
T18-776065,A1044700,,9/26/2018,14:19.3,,,,1,,,T18-776063,,,SEP.2018,FY2018
T18-690184,A1036772,TREATABLE MANAGEABLE NON-CONTAGIOUS,7/13/2018,11:43:00,MB,,,,,,T18-690184,INTAKE EXAM,,JUL.2018,FY2018
T18-766200,A1043837,,9/18/2018,40:29.2,,,,1,,,T18-766194,,,SEP.2018,FY2018
T18-775931,A1038116,,9/26/2018,43:04.8,,MICROCHIP (24HR PET WATCH),,,,,T18-775927,,,SEP.2018,FY2018
T18-699406,A1037586,,7/21/2018,33:42.4,,,,1,,,T18-699403,,,JUL.2018,FY2018
T18-778956,A1044869,,9/27/2018,08:50.9,,,,1,,,T18-778954,,,SEP.2018,FY2018
T18-780357,A1045087,,9/30/2018,08:15.6,,MICROCHIP (24HR PET WATCH),,,,,T18-780356,,,SEP.2018,FY2018
T18-776538,A1044758,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/26/2018,23:08:00,WH1740,,,,40,,T18-776538,INTAKE EXAM,,SEP.2018,FY2018
T18-767054,A1043902,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/18/2018,20:03:00,JS1753,,,,40.2,,T18-767054,INTAKE EXAM,,SEP.2018,FY2018
T18-779678,A1045025,,9/29/2018,56:48.2,,,,1,,,T18-779675,,,SEP.2018,FY2018
T18-774329,A1044505,,9/25/2018,47:07.3,,,,1,,,T18-774328,,,SEP.2018,FY2018
T18-776876,A1044292,,9/27/2018,55:47.5,,,,1,,,T18-776871,,,SEP.2018,FY2018
T18-764717,A0991720,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/16/2018,17:01:00,SR,,,,40.3,,T18-764717,EXAM - ADOPTION,,SEP.2018,FY2018
T18-776847,A1044450,,9/27/2018,46:05.7,,,,1,,,T18-776838,,,SEP.2018,FY2018
T18-758082,A1042973,,9/10/2018,55:16.5,,,,1,,,T18-758080,,,SEP.2018,FY2018
T18-758911,A1043045,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/11/2018,14:13:00,RM1702,,,,48,,T18-758911,INTAKE EXAM,,SEP.2018,FY2018
T18-768519,A1027188,UNKNOWN,9/19/2018,23:59:00,,,,,,,T18-768519,HEALTH MAINTENANCE,,SEP.2018,FY2018
T18-776359,A1044729,,9/26/2018,24:32.3,,,,1,,,T18-776348,,,SEP.2018,FY2018
T18-633117,A1030811,TREATABLE REHABILITABLE NON-CONTAGIOUS,5/23/2018,1:44:00,JS1699,,,,4,,T18-633117,INTAKE EXAM,,MAY.2018,FY2018
T18-765731,A1043799,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/17/2018,22:14:00,JM1707,,,,58.4,,T18-765731,INTAKE EXAM,,SEP.2018,FY2018
T18-638811,A1030839,TREATABLE REHABILITABLE NON-CONTAGIOUS,5/28/2018,12:51:00,PA,,,,6.8,,T18-638811,SURGERY-,,MAY.2018,FY2018
T18-752387,A1018169,,9/5/2018,06:40.1,,,,1,,,T18-752383,,,SEP.2018,FY2018
T18-772559,A1044282,,9/23/2018,55:42.9,,MICROCHIP (24HR PET WATCH),,,,,T18-772557,,,SEP.2018,FY2018
T18-766991,A1043825,,9/18/2018,21:17.0,,HEARTWORM TEST,NEGATIVE,,,,T18-766988,,,SEP.2018,FY2018
T18-760103,A1043194,,9/12/2018,16:06.0,,,,1,,,T18-760099,,,SEP.2018,FY2018
T18-776039,A1044699,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/26/2018,14:02:00,,,,,15.2,,T18-776039,INTAKE EXAM,,SEP.2018,FY2018
T18-753695,A1042491,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/6/2018,12:42:00,NG,,,,,,T18-753695,EXAM-VISUAL,,SEP.2018,FY2018
T18-776220,A1044723,,9/26/2018,59:21.4,,,,1,,,T18-776219,,,SEP.2018,FY2018
T18-652752,A1032849,UNKNOWN,6/10/2018,2:46:00,,,,,6.6,,T18-652752,HEALTH MAINTENANCE,,JUN.2018,FY2018
T18-759609,A1042564,,9/12/2018,59:08.5,,,,1,,,T18-759604,,,SEP.2018,FY2018
T18-778896,A1044935,,9/28/2018,26:33.0,,,,1,,,T18-778892,,,SEP.2018,FY2018
T18-778526,A1044736,,9/28/2018,33:43.3,,,,1,,,T18-778525,,,SEP.2018,FY2018
T18-776758,A1044172,,9/27/2018,49:03.9,,,,1,,,T18-776757,,,SEP.2018,FY2018
T18-776138,A1044672,,9/26/2018,11:38.8,,MICROCHIP (24HR PET WATCH),,,,,T18-776132,,,SEP.2018,FY2018
T18-780604,A1045109,,9/30/2018,13:49.6,,,,1,,,T18-780592,,,SEP.2018,FY2018
T18-769755,A1042899,TREATABLE REHABILITABLE CONTAGIOUS,9/20/2018,16:40:00,OB,,,,0.8,,T18-769755,EXAM-VISUAL,,SEP.2018,FY2018
T18-764617,A1014334,,9/16/2018,03:56.4,,,,14,,,T18-764616,,,SEP.2018,FY2018
T18-779400,A1044979,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/29/2018,13:33:00,NG.ER,,,,45.8,,T18-779400,INTAKE EXAM,,SEP.2018,FY2018
T18-776949,A1044786,,9/27/2018,20:33.5,,,,1,,,T18-776942,,,SEP.2018,FY2018
T18-779803,A1045001,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/29/2018,13:18:00,AV,,,,42,,T18-779803,INTAKE EXAM,,SEP.2018,FY2018
T18-763246,A1043474,,9/15/2018,53:37.4,,HEARTWORM TEST,NEGATIVE,,,,T18-763243,,,SEP.2018,FY2018
T18-693542,A0776646,TREATABLE REHABILITABLE NON-CONTAGIOUS,7/16/2018,16:05:00,,,,,22.6,,T18-693542,INTAKE EXAM,,JUL.2018,FY2018
T18-777488,A1044810,,9/27/2018,45:12.4,,,,1,,,T18-777481,,,SEP.2018,FY2018
T18-655875,A1032849,,6/13/2018,52:46.5,,,,1,,,T18-655873,,,JUN.2018,FY2018
T18-674415,A1035128,UNKNOWN,6/29/2018,14:01:00,VL/OB,,,,,,T18-674415,HEALTH MAINTENANCE,,JUN.2018,FY2018
T18-772494,A1044362,,9/23/2018,35:29.4,,MICROCHIP (24HR PET WATCH),,,,,T18-772490,,,SEP.2018,FY2018
T18-704124,A1038115,TREATABLE REHABILITABLE NON-CONTAGIOUS,7/25/2018,15:36:00,SR/AG,,,,0.5,,T18-704124,HEALTH MAINTENANCE,,JUL.2018,FY2018
T18-690945,A1036772,,7/13/2018,52:01.2,,,,1,,,T18-690943,,,JUL.2018,FY2018
T18-778821,A1044690,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/28/2018,17:02:00,,,,,,,T18-778821,SURGERY EXM,,SEP.2018,FY2018
T18-776951,A1044786,,9/27/2018,20:36.1,,MICROCHIP (24HR PET WATCH),,,,,T18-776942,,,SEP.2018,FY2018
T18-756006,A1040045,,9/8/2018,39:00.4,,MICROCHIP (24HR PET WATCH),,,,,T18-756005,,,SEP.2018,FY2018
T18-748041,A1036747,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/31/2018,16:05:00,LS,,,,,,T18-748041,HEALTH MAINTENANCE,,AUG.2018,FY2018
T18-768248,A1042390,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/19/2018,17:11:00,SR/ER,,,,1,,T18-768248,EXAM,,SEP.2018,FY2018
T18-761885,A1043329,,9/13/2018,56:34.9,,,,1,,,T18-761883,,,SEP.2018,FY2018
T18-635842,A1023178,UNKNOWN,5/25/2018,7:43:00,,,,,,,T18-635842,HEALTH MAINTENANCE,,MAY.2018,FY2018
T18-765842,A1040840,UNKNOWN,9/18/2018,9:37:00,,,,,,,T18-765842,HEALTH MAINTENANCE,,SEP.2018,FY2018
T18-764483,A0862164,,9/16/2018,54:22.7,,,,1,,,T18-764481,,,SEP.2018,FY2018
T18-782036,A1044921,,9/30/2018,31:54.4,,,,14,,,T18-781041,,,SEP.2018,FY2018
T18-771611,A1042786,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/22/2018,12:51:00,LV/DT,,,,26,,T18-771611,EXAM-VISUAL,,SEP.2018,FY2018
T18-779694,A1045021,,9/29/2018,03:24.2,,,,1,,,T18-779692,,,SEP.2018,FY2018
T18-732467,A1040548,,8/17/2018,05:55.2,,,,1,,,T18-732455,,,AUG.2018,FY2018
T18-690859,A1036747,TREATABLE REHABILITABLE NON-CONTAGIOUS,7/13/2018,16:12:00,LV/AR,,,,67.4,,T18-690859,HEALTH MAINTENANCE,,JUL.2018,FY2018
T18-779989,A0942995,UNKNOWN,9/29/2018,22:28:00,,,,,54.6,,T18-779989,MEDICAL REVIEW,,SEP.2018,FY2018
T18-777338,A1044826,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,15:43:00,,,,,12.8,,T18-777338,INTAKE EXAM,,SEP.2018,FY2018
T18-770810,A1044149,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/21/2018,15:21:00,LV,,,,,,T18-770810,EXAM-VISUAL,BEHAVIORAL,SEP.2018,FY2018
T18-780035,A1045070,UNKNOWN,9/30/2018,1:27:00,,,,,58.4,,T18-780035,MEDICAL REVIEW,,SEP.2018,FY2018
T18-750168,A1042211,,9/3/2018,02:59.0,,HEARTWORM TEST,NEGATIVE,,,,T18-750166,,,SEP.2018,FY2018
T18-776278,A1044734,,9/26/2018,55:02.7,,,,1,,,T18-776275,,,SEP.2018,FY2018
T18-767531,A1041626,,9/19/2018,17:44.6,,,,1,,,T18-767529,,,SEP.2018,FY2018
T18-779389,A1044595,,9/29/2018,28:41.3,,,,1,,,T18-779383,,,SEP.2018,FY2018
T18-769395,A1044116,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/20/2018,14:32:00,NG,,,,0.9,,T18-769395,INTAKE EXAM,,SEP.2018,FY2018
T18-768739,A1043521,,9/20/2018,08:46.0,,,,3,,,T18-768729,,,SEP.2018,FY2018
T18-750559,A1042267,,9/3/2018,50:21.6,,MICROCHIP (HOME AGAIN),,,,,T18-750552,,,SEP.2018,FY2018
T18-690741,A1036747,,7/13/2018,43:55.7,,,,1,,,T18-690737,,,JUL.2018,FY2018
T18-654035,A1032954,,6/11/2018,44:08.3,,,,1,,,T18-654033,,,JUN.2018,FY2018
T18-753273,A1042494,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/5/2018,18:52:00,JS1753,,,,2.3,,T18-753273,INTAKE EXAM,,SEP.2018,FY2018
T18-772770,A1042830,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/23/2018,13:44:00,AG2,,,,,,T18-772770,EXAM-VISUAL,,SEP.2018,FY2018
T18-776870,A1044746,,9/27/2018,54:57.4,,,,1,,,T18-776867,,,SEP.2018,FY2018
T18-772734,A1044246,,9/23/2018,33:52.6,,MICROCHIP (24HR PET WATCH),,,,,T18-772732,,,SEP.2018,FY2018
T18-776219,A1044723,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/26/2018,16:03:00,DG,,,,,,T18-776219,EXAM-VISUAL,,SEP.2018,FY2018
T18-775732,A1043681,,9/26/2018,23:56.1,,,,14,,,T18-775731,,,SEP.2018,FY2018
T18-769740,A1041746,TREATABLE REHABILITABLE CONTAGIOUS,9/20/2018,16:40:00,OB,,,,1.1,,T18-769740,EXAM-VISUAL,,SEP.2018,FY2018
T18-777374,A1044801,TREATABLE MANAGEABLE NON-CONTAGIOUS,9/27/2018,16:01:00,MW 1723,,,,42.1,,T18-777374,INTAKE EXAM,,SEP.2018,FY2018
T18-772047,A1042686,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/22/2018,16:03:00,LV,,,,1.5,,T18-772047,EXAM,,SEP.2018,FY2018
T18-772701,A1044405,,9/23/2018,57:58.1,,MICROCHIP (24HR PET WATCH),,,,,T18-772697,,,SEP.2018,FY2018
T18-769986,A1044149,,9/20/2018,31:57.1,,,,1,,,T18-769985,,,SEP.2018,FY2018
T18-775628,A1044642,,9/26/2018,51:50.5,,,,1,,,T18-775624,,,SEP.2018,FY2018
T18-754820,A1041560,,9/7/2018,57:45.2,,,,14,,,T18-754815,,,SEP.2018,FY2018
T18-771622,A1043194,TREATABLE REHABILITABLE CONTAGIOUS,9/22/2018,12:47:00,AG/AG2,,,,55,,T18-771622,MEDICAL REVIEW,,SEP.2018,FY2018
T18-704463,A1037740,TREATABLE REHABILITABLE NON-CONTAGIOUS,7/25/2018,18:30:00,,,,,,,T18-704463,SURGERY-,,JUL.2018,FY2018
T18-776721,A1044474,,9/27/2018,15:14.3,,,,1,,,T18-776718,,,SEP.2018,FY2018
T18-690186,A1036772,,7/13/2018,44:24.6,,,,1,,,T18-690184,,,JUL.2018,FY2018
T18-770943,A1042967,,9/21/2018,20:31.9,,,,14,,,T18-770409,,,SEP.2018,FY2018
T18-771589,A1044277,,9/22/2018,46:12.7,,,,1,,,T18-771584,,,SEP.2018,FY2018
T18-779893,A1044961,,9/29/2018,45:23.9,,MICROCHIP (24HR PET WATCH),,,,,T18-779892,,,SEP.2018,FY2018
T18-768259,A1042392,,9/19/2018,14:18.8,,,,1,,,T18-768254,,,SEP.2018,FY2018
T18-743399,A1041663,,8/27/2018,04:35.5,,,,1,,,T18-743397,,,AUG.2018,FY2018
T18-777187,A1044359,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,14:36:00,,,,,,,T18-777187,SURGERY-,,SEP.2018,FY2018
T18-772398,A1044359,,9/22/2018,25:44.9,,,,1,,,T18-772395,,,SEP.2018,FY2018
T18-725108,A1040041,,8/12/2018,36:44.3,,,,1,,,T18-725107,,,AUG.2018,FY2018
T18-761556,A1043245,,9/13/2018,12:15.8,,,,1,,,T18-761555,,,SEP.2018,FY2018
T18-777100,A1042474,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,13:30:00,PA,,,,2.3,,T18-777100,SURGERY-,,SEP.2018,FY2018
T18-780368,A1045096,,9/30/2018,09:46.4,,,,1,,,T18-780362,,,SEP.2018,FY2018
T18-761934,A1043329,,9/13/2018,28:21.9,,,,1,,,T18-761883,,,SEP.2018,FY2018
T18-690740,A1036747,,7/13/2018,43:48.4,,,,1,,,T18-690737,,,JUL.2018,FY2018
T18-773827,A1042376,TREATABLE MANAGEABLE NON-CONTAGIOUS,9/24/2018,16:14:00,AR,,,,0,0,T18-773827,VET CHECK,,SEP.2018,FY2018
T18-776179,A1012968,,9/26/2018,07:43.7,,,,1,,,T18-776178,,,SEP.2018,FY2018
T18-774191,A1044556,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/25/2018,9:49:00,OB,,,,58,,T18-774191,EXAM - ADOPTION,,SEP.2018,FY2018
T18-734191,A1040858,,8/19/2018,02:03.4,,,,1,,,T18-734190,,,AUG.2018,FY2018
T18-778659,A1044921,,9/28/2018,37:03.0,,,,1,,,T18-778652,,,SEP.2018,FY2018
